,title,sale_price,currency,condition,buying_format,date_sold,image_url,shipping_price,link,item_id
131,Apple iPhone X Factory Unlocked GSM SmartPhone 64GB 256GB No Face ID,104.99,$,Pre-Owned,Buy It Now,"Apr 22, 2026",https://i.ebayimg.com/images/g/WVIAAOSw7bZd0jap/s-l140.webp,0.0,https://www.ebay.com/itm/235280733360?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ETFKGTNRS0P2B2N5AH&hash=item36c7d314b0%3Ag%3AWVIAAOSw7bZd0jap&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDMNS8puvzVsaBcRXH96xWu9JoZL4sCQD6Gt1K6jpU%2FOUzVIjOp5k2WvZ4vc%2BD40r5C00NRAWW2II1eDHXi%2B5sueyquqPKMbWZfTBT%2BZiZ6HUnf8zcy6b7eMXHgwUP367wZmQdDbpHiqNcQAASeXJNmvlJ3pI83wDtHxH39poxewK4AZuj7rAxam0Gl59fTKezkgXvHwYXNY7cEJkeJ83kxd%2BPv7QCT6Vbac%2BjCafPaJVzvcMNzEVz0KSQZjtGnW2NeXIl9C6jCLb7PmOJG4SE2nGkiZgX8qRWUDzJ0S3YmLEs10jKz8n4d%2FTAi77gryYttI3NDB9hMO018Erds2L7c%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,235280733360
132,Apple iPhone X - 64 GB - Space Gray (Unlocked),90.0,$,Apple iPhone X,Buy It Now,"Apr 21, 2026",https://i.ebayimg.com/images/g/czwAAeSwh5Vp6BwW/s-l140.webp,0.0,https://www.ebay.com/itm/389921402616?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ET0F8QE3M6WH514VER&hash=item5ac9206ef8%3Ag%3AczwAAeSwh5Vp6BwW&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDJWDs5MX%2FdlJdFQpZrJIeunaam%2FV1y3DKAc0hF4w9RYzKhxjQlGsR3mIzHK0rX%2FGanm4mvIa8tc9KNxs1O%2FNrLll5THHxC5W1bfN29FPeJoN7C49E5%2Fay6GV35xTecB3JAL72Wbn%2B4BIQykDHYVTUZOuF3AD2JbK4lw02ys%2FU6WjEtyotVrJsPkIKFDbNJZ2slJuzqmsiQfG3mX97iOeRe%2Fq8S1o%2BmrR1hB2uFAPcdGLTmiihvpS2Qmnjl7zqFiIxhkyPO93KMrryrUK1NJ%2FIGlAlCSHC27bh35bVOrI1v744RaeZp2ogdbtdFzPhu1PvX33covfeNbMqTaTitj2p5%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,389921402616
133,Apple iPhone X 64GB Black Unlocked Clean IMEI iCloud Off,69.99,$,Apple iPhone X,Buy It Now,"Apr 21, 2026",https://i.ebayimg.com/images/g/62UAAeSwO05p0oU6/s-l140.webp,0.0,https://www.ebay.com/itm/257458734582?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ETVPP8V740Z9XSQTXD&hash=item3bf1bc85f6%3Ag%3A62UAAeSwO05p0oU6&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD86ckg8cq9NCKXPM8yBHnKFe%2F%2B63PSv6omkhTX8ZR2peZQRjuXv%2BqWT3FFAxsDGxHEP4aABpWOtennNPMsRdhvriSOj5pjFiwGNnmXpf1Wc8NlHqzX3Ple3%2FZsyws21YatDgCKcQBa8zdcihVH45A1boMOiIGqXNQ5AYkbsxGpU8EGzjTygIQ7KX9dUaNe6UQ%2F7UmfUQSknzn9zizHyJS6PWIuu4eDzigkIC%2BC%2ByTU43kEYPvPW0ItOWBiEDo56lcQyKtJhikzxF6QP3ZbR93aCQYWUo0QiUowwoEyUL8fNA%3D%3D%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,257458734582
134,Apple iPhone X Silver 12 MP Camera 5.8in iOS Hexa Core 3GB RAM,72.5,$,Pre-Owned,Accepts Offers,"Apr 21, 2026",https://i.ebayimg.com/images/g/k8cAAeSwdylpxYIy/s-l140.webp,9.14,https://www.ebay.com/itm/127772894386?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&itmmeta=01KTPA61ETMCWC103RPXZ5B6FM&hash=item1dbfdba4b2%3Ag%3Ak8cAAeSwdylpxYIy&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCFtxwE1E2A725%2FuqOaXI49comsk6eN%2F%2BPhSl6ZoDMi86eXumcR1UdYsXZ11yny4GCBPGGqMZMdcoOXFmUv1rTXLbopcDCMn5ePqo8Z3MFrLtleaCumc%2BEiXWsvzfDfPzi2to51kz8NAw4JdNsDaT7HY9TMgzNHBUPELAJNP9syzj9X3WPQjdU5qaitCSd%2FR2y%2FaVX5l8AHkM6wu6C7d6MSwRI4GknRH4loDEGiHzNM31O0DnbdsLnimW77DyHnE0EnejiJI9OT0MQtVCtwC6XLVSYB7rxSGcbSwbelpn%2FilMMxY9104y9gkUNSKIfgnMQr94ozBIahwoxfC1I71XTI%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,127772894386
135,"Apple iPhone x 64GB, Space Gray, Unlocked",65.0,$,Apple iPhone X,Buy It Now,"Apr 21, 2026",https://i.ebayimg.com/images/g/FwIAAeSwnrxpteOz/s-l140.webp,9.35,https://www.ebay.com/itm/267635874337?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ET5K5Y6ZNJFYRP7RAX&hash=item3e50575a21%3Ag%3AFwIAAeSwnrxpteOz&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBvjd5duYE3eC%2B%2BUJ43RfnATFqJuqOPiG1VZJjg7e4BmJ05eL2GzkpgkjzNrwtYbcZQ54SIH3BfQDX%2Bp0VtI6EekO3CIsFFxPR4McVyeR22NAXuhag2JyqS77dXgKIejd3zzfJIcm14sN3XGI%2BcCtj5BX0pUvuArxqTbwf%2FtUuiNvQdDQiZ3FQRNlKpeYWXdN8G5SlxjWuUFF8cE67fwEo%2FNZZLhjrG2wY7WP7W1U0ld3aCdFbL2Ntz2LQ9GrVtR9KXUOGlnXyukNA1AIZ8UGo%2BAOmmwRqK8JUc%2BwQYU4xyN%2Ff4riG0kJT4yLHJJ3G2nn8qtkulua5NHkjvTdONoMzZ%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,267635874337
136,Apple iPhone X - 64 GB - Space Gray (Unlocked) - Excellent Condition -,122.5,$,Apple iPhone X,Auction,"Apr 21, 2026",https://i.ebayimg.com/images/g/Lp0AAeSwr9dp3vJH/s-l140.webp,10.0,https://www.ebay.com/itm/198282489886?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ETR8BD4D8SS0PSAGPB&hash=item2e2a8eb01e%3Ag%3ALp0AAeSwr9dp3vJH&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xA%2BhEaAZ%2BxBauU2AmOP4XROC%2Fm0D%2FEmZ8zaUL7PNGKKfkbQ2MBVtfFciqniviLaOKxppIBuyR8ftbI4CGwrBU16YSBOwxYDn2PEMgr7B4XDM%2BfWP7%2B%2BFWfqyDt7Kj%2Bb1hIcNbFyDLrG7mfbzf1J8EpxnGBKQKL8%2FwV83shZkcNU%2FNchgNDtcp%2Bi72MwLiQRJpMnlZ6lK6klLmTi8oEr4hFGcb9TJpxWuCM3iMY7PoVFfI%2Fgip2ggVlS24A2t0cwuRH3cqSBfgN%2FXJV%2F%2BX762zBbLKTYCwZagz1o%2FRfGF66YhaEvqJhc8oGbtO23FXnMGGKDdIIXwyrXmND5J4B1oRPV%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,198282489886
137,"Apple iPhone X 64 GB capacity 74% bat unlocked, good condition needs new battery",79.99,$,Apple iPhone X,Buy It Now,"Apr 16, 2026",https://i.ebayimg.com/images/g/WlcAAeSwDeVp4YDV/s-l140.webp,0.0,https://www.ebay.com/itm/277722728585?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ETKFG6YPK3WG2QCJWF&hash=item40a9908889%3Ag%3AWlcAAeSwDeVp4YDV&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBaV9nSHJ9G2pxOGBPRRZLIJ4K1gaPHqYFMa3WfyyauaK09YiFicpgzRaKjryn827MVowoM3XNuCXSnmub4wPeHT6gGtiLHXCuaxGEHQ75pbX3wP%2FYa%2BpPNOYwRZFv8lMGUYgONMiig5iLvhRTkkdRLPbTPeghJcgJ%2BmQt9H6jG7dDDBTZKSimh5WP4XvZ5f4m1vtrHVq6jDZTZe94axoNBXhp2Lc%2FHk2YIKqnWzFDKvkpw%2BE%2BXeqCfizH8utp%2F8MjA6n8TaOLWCCDTLCD2MLK%2BhR243eiBCA4aKFB398m7ZVbWIxyulRoqkwdzeBqYE5r0DqkXMgNYn4Ehrz2DFZFI%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,277722728585
138,Apple iPhone X - 64 GB - Space Gray (Unlocked) - Excellent Condition,90.0,$,Apple iPhone X,Accepts Offers,"Apr 20, 2026",https://i.ebayimg.com/images/g/zXIAAeSwp2Jp5rkh/s-l140.webp,6.08,https://www.ebay.com/itm/188299103344?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61ETR49Q2JN6J0XD9R4J&hash=item2bd7804c70%3Ag%3AzXIAAeSwp2Jp5rkh&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDt%2FRVLfDBIOk50RXGvNR9NJrHS2VkzIS1QrHiFKFinGhwqsBXLAUgKW2JMx8kdTldRCD8IqN1EvYGlNpcbj0wMH9iuT3rUIXRZziG6jeQH0h3NV8DD1x%2BXJlgMaQ4gkawbiZ4p2gsobDJtldwPxSrX%2FnJvbE3NWGRdk4BwhV8Z3Lw9dvfapVdJ%2Fp14KUDFfjMMnKqBtbnc%2FZ4akNnjgWjqjiLZHlmaeujlQkVcedAK0EkzK%2BQLBlOxrJJV08znJdnqbpSIDtE5wSlNS5uI9sjvCCTOUZuD0UnVKVmkmWBvDp40D4ZzLKTXgUpFcfmKddq3yhpIRxythgVcvEeerWTp%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,188299103344
139,Apple iPhone X - 64 GB - Space Gray Unlocked Great Condition,45.15,$,Pre-Owned,Auction,"Apr 20, 2026",https://i.ebayimg.com/images/g/St4AAeSwnxZp2rYf/s-l140.webp,17.06,https://www.ebay.com/itm/257453175633?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EV534HH2HHX1F6145J&hash=item3bf167b351%3Ag%3ASt4AAeSwnxZp2rYf&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBNhp7JRKcAAN4wuS24Z7WY2FFt5RXgvSXoWcyyIJtCJ1VGPbz9f3iEDtMT9QTOwdY5t33aIzrb106vTg2P%2BEAh18b6%2FzcnKc1iMJKjRwF4tKvH6XY3N7AjbnisxcgbtJUO2rAMRoEuVG4Rsr69ExIU6xTt8pZnREaEieBsdL9UZjz5Rb77WFz3CzHtxL%2BqWjv%2FLmijyS5GxLZ2QKGU0N1TjkWQQOOzLa1loZi4zKTvTq3NIJkiaoUfeVMnHOOFJ88UDGG4w9nb3bw2CfEKtH5lyZxI%2BTi9Eg%2BiI9BSP6oEac%2FJllQtBgnEwV5wn8sz%2BbSphvyzz4N49Z%2BPSiehop8c%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,257453175633
140,Apple iPhone X Black 12MP 5.8in Bluetooth Wi-Fi NFC Smartphone,85.0,$,Apple iPhone X,Buy It Now,"Apr 20, 2026",https://i.ebayimg.com/images/g/REcAAeSwPL5p492f/s-l140.webp,0.0,https://www.ebay.com/itm/366354864900?_skw=iPhone+-locked+-cracked+-case+-box+-read+-LCD&epid=19024178513&itmmeta=01KTPA61EV7S1GM0VJ9CHARW6A&hash=item554c739b04%3Ag%3AREcAAeSwPL5p492f&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBuGHMLHJQmbycY09m8P02yQVCzcbxqQerI48K3yAn9hw1w8kwQGlqK%2FGjWHMDfN5l6%2F15q3tG5IbeT3VNZYXvFGW6EeIqk%2ByYQHTsykgAVMltdvwrBTdQtP4tKN5jExgfKHFt4SakDErquHD43yxOSN0f%2FyddXujW7x4KDy%2Fb2dGootMkXdWP8mg6lB9szUoXM4lS%2Fme8pn0pVqYwxaoMfZHP8ez98Dn7M0%2F7ZYZ9fXzbtuh3CS1oTd4CKCTUf5aYvDnhjDPeSHCceooNg40RELawsJksvHv4A%2B4cBdZTCQ4r4sTdKi7OPdQnz3MGiLu0HJn0XFSNLgln%2FbCPuhqCi%7Ctkp%3ABk9SR9yXmMrVZw&LH_ItemCondition=3000,366354864900
